-9492118.741,1105441.800,952
-9399785.848,1108531.964,1061
-9396705.077,1107654.090,1038
-9326209.533,1110725.130,2674
-9334255.688,1108447.171,3402
-9329182.695,1108627.998,3080
-9343804.955,1105617.088,2206
-9283438.160,1107734.470,969
-9324458.634,1104315.107,1718
-9296524.918,1104294.314,1152
-9297470.738,1102268.834,1190
-9291383.897,1102478.233,929
-9371992.628,1098629.965,1790
-9283251.030,1102258.053,1599
-7106402.292,1110145.031,796
-9390158.097,1095479.672,1232
-9369873.771,1096222.064,1987
-9348102.747,1098001.273,1857
-9287240.923,1100128.546,1328
-7161260.278,1109490.235,1148
-7154662.949,1109331.571,835
-7132841.425,1108798.339,1320
-7124176.830,1110091.182,1713
-9366795.086,1095339.685,2398
-9317078.761,1096608.946,1220
-9305414.185,1097013.732,1262
-9303858.389,1096071.418,1254
-9293766.393,1097912.460,1418
-9278517.153,1097434.758,1370
-7157719.955,1108902.167,1063
-7144018.123,1108570.147,1391
-7140465.836,1108483.236,1384
-9403702.139,1091006.447,1232
-9368244.499,1093299.172,2041
-7399376.716,1110381.238,1269
-7386687.542,1110158.146,1421
-7380596.793,1110049.506,1075
-7152705.889,1106266.278,950
-7138485.309,1106423.248,1247
-7118200.584,1105417.590,846
-7111096.750,1105238.859,930
-9360549.014,1091091.390,1795
-9301220.094,1093174.124,1255
-9281966.290,1094328.047,1660
-9277909.178,1094464.991,867
-7508531.492,1110601.280,960
-7494318.850,1110393.623,841
-7456242.075,1110315.865,969
-7451166.263,1110235.079,1604
-7446606.192,1109656.322,1445
-7442537.434,1110096.136,1254
-7429340.529,1109879.720,1109
-7427301.843,1110351.313,1121
-7409554.111,1109041.060,994
-7390783.668,1108209.976,1249
-7388726.735,1109689.132,1334
-7379590.732,1109526.376,1065
-7339016.077,1107261.916,880
-7334438.819,1107679.283,912
-7334438.819,1107679.283,912
-7139066.549,1103420.600,1085
-7130960.587,1102718.871,970
-7129945.813,1102693.841,963
-9403084.946,1088051.059,1679
-9398467.178,1086732.302,1616
-9396457.482,1087302.685,1472
-9387874.866,1088610.556,980
-9371614.425,1088208.124,1302
-9349287.726,1088510.577,2157
-9325963.900,1089331.366,1928
-9298126.363,1091786.021,1121
-9270742.485,1092711.985,1954
-9266161.784,1092366.407,1820
-7571507.164,1108923.429,904
-7547122.977,1110124.935,1430
-7541031.813,1110043.082,1208
-7520742.365,1108751.042,1029
-7512606.746,1109647.768,1122
-7487227.752,1109276.254,1001
-7487227.752,1109276.254,1001
-7466433.082,1107947.404,923
-7455782.532,1107274.798,1295
-7433941.900,1107933.796,941
-7414672.483,1106601.645,1087
-7370500.664,1106837.220,937
-7364419.748,1106221.455,949
-7358329.711,1106109.490,864
-7317740.294,1104833.066,789
-7307063.388,1105631.557,1055
-7304525.984,1105581.064,969
-7140601.009,1102955.267,1076
-9326418.966,1087822.812,1982
-9308689.686,1088934.216,1489
-9306627.337,1088009.365,1639
-9285347.907,1089231.402,1518
-9267093.122,1089843.009,1927
-8128388.349,1109732.850,2748
-8123311.983,1109745.074,3184
-7793346.639,1109544.325,1151
-7778117.955,1109440.164,1094
-7772534.126,1109400.392,932
-7764408.451,1109848.199,985
-7762381.741,1109325.910,1000
-7725837.806,1108527.569,1325
-7643089.340,1108747.664,1521
-7636998.208,1108681.866,1742
-7617202.182,1108461.062,869
-7567452.952,1108365.499,866
-7510097.860,1107587.891,943
-7469501.819,1106477.844,1152
-7460390.024,1104819.266,1084
-7456821.540,1105774.399,1183
-7451222.730,1106696.821,1423
-7447686.209,1105629.228,1049
-7397451.984,1104285.402,936
-7346168.709,1104873.383,852
-7123437.071,1099014.501,938
-9394302.276,1083906.637,1159
-9306627.337,1088009.365,1639
-9277151.393,1087015.687,1234
-9258439.716,1089132.668,1475
-8145643.484,1108163.386,825
-8134986.272,1109208.336,1809
-8124323.655,1108219.945,3499
-8117724.648,1108234.951,2885
